layer,name,status,family,risk,references,file,line,evidence
emitter_api,_W,unreviewed,_W,60,269,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,45,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,ADC_www,unreachable,ADC_www,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,186,no path from reachable AArch64 compiler/emitter roots
emitter_api,ADC_xxx,unreachable,ADC_xxx,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,187,no path from reachable AArch64 compiler/emitter roots
emitter_api,ADCS_www,unreviewed,ADCS_www,60,3,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,188,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,ADCS_xxx,unreachable,ADCS_xxx,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,189,no path from reachable AArch64 compiler/emitter roots
emitter_api,ADD_wwi,audited,ADD_wwi,80,12,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,192,AARCH64_JIT_AUDIT_ADD_EMITTERS.md
emitter_api,ADD_www,audited,ADD_www,80,14,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,194,AARCH64_JIT_AUDIT_ADD_EMITTERS.md
emitter_api,ADD_wwwEX,audited,ADD_wwwEX,80,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,190,AARCH64_JIT_AUDIT_ADD_EMITTERS.md
emitter_api,ADD_wwwLSLi,audited,ADD_wwwLSLi,80,4,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,196,AARCH64_JIT_AUDIT_ADD_EMITTERS.md
emitter_api,ADD_xxi,audited,ADD_xxi,80,8,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,193,AARCH64_JIT_AUDIT_ADD_EMITTERS.md
emitter_api,ADD_xxwEX,audited,ADD_xxwEX,80,7,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,191,AARCH64_JIT_AUDIT_ADD_EMITTERS.md
emitter_api,ADD_xxx,audited,ADD_xxx,80,3,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,195,AARCH64_JIT_AUDIT_ADD_EMITTERS.md
emitter_api,ADD_xxxLSLi,unreachable,ADD_xxxLSLi,80,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,197,no path from reachable AArch64 compiler/emitter roots
emitter_api,ADDS_wwi,unreviewed,ADDS_wwi,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,198,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,ADDS_www,unreviewed,ADDS_www,60,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,200,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,ADDS_wwwLSLi,unreviewed,ADDS_wwwLSLi,60,4,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,202,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,ADDS_xxi,unreachable,ADDS_xxi,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,199,no path from reachable AArch64 compiler/emitter roots
emitter_api,ADDS_xxx,unreachable,ADDS_xxx,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,201,no path from reachable AArch64 compiler/emitter roots
emitter_api,ADDS_xxxLSLi,unreachable,ADDS_xxxLSLi,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,203,no path from reachable AArch64 compiler/emitter roots
emitter_api,AND_ww1f,unreachable,AND_ww1f,80,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,293,no path from reachable AArch64 compiler/emitter roots
emitter_api,AND_ww3f,audited,AND_ww3f,80,25,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,292,AARCH64_JIT_AUDIT_AND_EMITTERS.md
emitter_api,AND_www,audited,AND_www,80,16,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,289,AARCH64_JIT_AUDIT_AND_EMITTERS.md
emitter_api,AND_xx1f,unreachable,AND_xx1f,80,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,291,no path from reachable AArch64 compiler/emitter roots
emitter_api,AND_xxx,audited,AND_xxx,80,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,290,AARCH64_JIT_AUDIT_AND_EMITTERS.md
emitter_api,ANDS_ww1f,unreachable,ANDS_ww1f,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,300,no path from reachable AArch64 compiler/emitter roots
emitter_api,ANDS_ww3f,unreviewed,ANDS_ww3f,60,14,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,299,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,ANDS_ww7f,unreachable,ANDS_ww7f,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,298,no path from reachable AArch64 compiler/emitter roots
emitter_api,ANDS_www,unreviewed,ANDS_www,60,11,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,294,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,ANDS_xx1f,unreachable,ANDS_xx1f,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,297,no path from reachable AArch64 compiler/emitter roots
emitter_api,ANDS_xx7fff,unreviewed,ANDS_xx7fff,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,296,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,ANDS_xxx,unreachable,ANDS_xxx,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,295,no path from reachable AArch64 compiler/emitter roots
emitter_api,ARM_CV_FLAGS,unreachable,ARM_CV_FLAGS,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,38,no path from reachable AArch64 compiler/emitter roots
emitter_api,ASR_wwi,unreviewed,ASR_wwi,60,7,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,326,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,ASR_www,unreachable,ASR_www,60,0,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,324,no path from reachable AArch64 compiler/emitter roots
emitter_api,ASR_xxi,unreviewed,ASR_xxi,60,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,327,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,ASR_xxx,unreviewed,ASR_xxx,60,9,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,325,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,B_i,audited,B_i,87,87,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,77,AARCH64_JIT_AUDIT_BRANCH_EMITTERS.md
emitter_api,BCC_i,audited,BCC_i,87,4,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,86,AARCH64_JIT_AUDIT_BRANCH_EMITTERS.md
emitter_api,BCS_i,audited,BCS_i,87,2,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,85,AARCH64_JIT_AUDIT_BRANCH_EMITTERS.md
emitter_api,BEQ_i,audited,BEQ_i,87,29,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,83,AARCH64_JIT_AUDIT_BRANCH_EMITTERS.md
emitter_api,BFI_wwii,unreviewed,BFI_wwii,60,135,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,353,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,BFI_xxii,unreviewed,BFI_xxii,60,24,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,354,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,BFXIL_wwii,unreviewed,BFXIL_wwii,60,1,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,361,reachable encoder API; requires opcode/width/branch-range contract classification
emitter_api,BFXIL_xxii,unreviewed,BFXIL_xxii,60,26,BasiliskII/src/uae_cpu_2026/compiler/codegen_arm64.h,362,reachable encoder API; requires opcode/width/branch-range contract classification
